[2026-09-17 18:13:09] ================================================================================
[2026-09-17 18:13:09] CPU TRAINING STARTED
[2026-09-17 18:13:09] Python executable: E:\MMdetection\.venv\Scripts\python.exe
[2026-09-17 18:13:09] Config file: E:\MMDetection_2\configs\packdet_rtmdet_ins.py
[2026-09-17 18:13:09] Work directory: E:\MMDetection_2\work_dirs\packdet_rtmdet_ins_cpu
[2026-09-17 18:13:09] Training command: E:\MMdetection\.venv\Scripts\python.exe E:\MMDetection_2\mmdetection\tools\train.py E:\MMDetection_2\configs\packdet_rtmdet_ins.py --work-dir E:\MMDetection_2\work_dirs\packdet_rtmdet_ins_cpu
[2026-09-17 18:13:09] ================================================================================
[2026-09-17 18:14:58] Elapsed: 1.82 min | System CPU: 53.7% | System RAM: 78.6% (12.37/15.73 GB) | Training Process CPU: 0.0% | Training Process RAM: 1438.70 MB
[2026-09-17 18:15:00] Elapsed: 1.85 min | System CPU: 54.2% | System RAM: 78.9% (12.41/15.73 GB) | Training Process CPU: 0.0% | Training Process RAM: 1473.21 MB
[2026-09-17 18:15:02] Elapsed: 1.88 min | System CPU: 51.8% | System RAM: 78.7% (12.37/15.73 GB) | Training Process CPU: 0.0% | Training Process RAM: 1439.38 MB
[2026-09-17 18:15:04] Elapsed: 1.92 min | System CPU: 53.6% | System RAM: 78.4% (12.33/15.73 GB) | Training Process CPU: 0.0% | Training Process RAM: 1436.85 MB
[2026-09-17 18:15:06] Elapsed: 1.95 min | System CPU: 58.2% | System RAM: 78.5% (12.35/15.73 GB) | Training Process CPU: 0.0% | Training Process RAM: 1443.94 MB
[2026-09-17 18:15:08] Elapsed: 1.98 min | System CPU: 59.3% | System RAM: 78.6% (12.37/15.73 GB) | Training Process CPU: 0.0% | Training Process RAM: 1442.85 MB
[2026-09-17 18:15:10] Elapsed: 2.02 min | System CPU: 57.9% | System RAM: 78.6% (12.36/15.73 GB) | Training Process CPU: 0.0% | Training Process RAM: 1442.36 MB
[2026-09-17 18:15:12] Elapsed: 2.05 min | System CPU: 63.5% | System RAM: 78.8% (12.39/15.73 GB) | Training Process CPU: 0.0% | Training Process RAM: 1443.63 MB
[2026-09-17 18:15:14] Elapsed: 2.08 min | System CPU: 74.4% | System RAM: 79.0% (12.42/15.73 GB) | Training Process CPU: 0.0% | Training Process RAM: 1442.63 MB
[2026-09-17 18:15:16] Elapsed: 2.12 min | System CPU: 63.9% | System RAM: 79.3% (12.47/15.73 GB) | Training Process CPU: 0.0% | Training Process RAM: 1442.08 MB
[2026-09-17 18:15:19] Elapsed: 2.15 min | System CPU: 69.4% | System RAM: 80.0% (12.58/15.73 GB) | Training Process CPU: 0.0% | Training Process RAM: 1443.63 MB
[2026-09-17 18:15:21] Elapsed: 2.18 min | System CPU: 59.8% | System RAM: 80.0% (12.59/15.73 GB) | Training Process CPU: 0.0% | Training Process RAM: 1443.34 MB
[2026-09-17 18:15:23] Elapsed: 2.22 min | System CPU: 58.1% | System RAM: 80.2% (12.62/15.73 GB) | Training Process CPU: 0.0% | Training Process RAM: 1485.32 MB
[2026-09-17 18:15:25] Elapsed: 2.27 min | System CPU: 60.3% | System RAM: 80.0% (12.59/15.73 GB) | Training Process CPU: 0.0% | Training Process RAM: 1442.30 MB
[2026-09-17 18:15:27] Elapsed: 2.30 min | System CPU: 60.9% | System RAM: 80.3% (12.64/15.73 GB) | Training Process CPU: 0.0% | Training Process RAM: 1445.41 MB
[2026-09-17 18:15:29] Elapsed: 2.33 min | System CPU: 59.7% | System RAM: 80.4% (12.64/15.73 GB) | Training Process CPU: 0.0% | Training Process RAM: 1443.88 MB
[2026-09-17 18:15:31] Elapsed: 2.37 min | System CPU: 57.6% | System RAM: 80.4% (12.65/15.73 GB) | Training Process CPU: 0.0% | Training Process RAM: 1446.61 MB
